Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
1376,,,,,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731,Stratovolcano,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1385,,,,,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731,Stratovolcano,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1389,12.0,1.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1410,3.0,5.0,,,Nasu,Honshu-Japan,Japan,37.12,139.97,1917,Stratovolcano,Historical,D2,3.0,,180.0,3.0,,,,,,,,,180.0,3.0,,,,,,,,
1430,,,,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.53599999999997,-2,Caldera,Historical,D1,,P,,3.0,,,,,,,,,,3.0,,,,,,,,
1471,11.0,3.0,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,D1,5.0,P,,3.0,,,,,,,,,,3.0,,,,,,,,
1477,2.0,,,,Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,Historical,D2,6.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1485,1.0,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,Historical,D1,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1500,,,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1510,7.0,25.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,4.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1510,10.0,15.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,4.0,I,,,,,,,,,,,,3.0,,,,,,,,
1536,3.0,23.0,,,Etna,Italy,Italy,37.734,15.004000000000001,3350,Stratovolcano,Historical,D1,3.0,T,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
1538,9.0,29.0,,,Campi Flegrei,Italy,Italy,40.827,14.139000000000001,458,Caldera,Historical,D5,3.0,T,24.0,1.0,,,,,,,,,24.0,1.0,,,,,,,,
1540,,,TSU,,Augustine,Alaska-SW,United States,59.37,-153.42,1252,Lava dome,Historical,D1,4.0,,,,,,,,,,,,,,,,,,,,,
1550,11.0,,,,Dukono,Halmahera-Indonesia,Indonesia,1.68,127.88,1185,Complex volcano,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1564,12.0,31.0,,,Gamkonora,Halmahera-Indonesia,Indonesia,1.375,127.52,1635,Stratovolcano,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1565,8.0,,,EQ,Pacaya,Guatemala,Guatemala,14.380999999999998,-90.601,2552,Complex volcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1566,10.0,31.0,,,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical,D1,3.0,,,3.0,,,,,,,,,,3.0,,,,,,,,
1568,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,510,Stratovolcano,Historical,D3,3.0,"P,T,M",1001.0,4.0,,,,,,,,,1001.0,4.0,,,,,,,,
1570,,,,,Mombacho,Nicaragua,Nicaragua,11.825999999999999,-85.96799999999999,1344,Stratovolcano,Holocene,U,,A,400.0,3.0,,,,,,,,,400.0,3.0,,,,,,,,
1576,,,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1580,5.0,1.0,,,San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,Historical,D2,3.0,P,10.0,1.0,,,,,,,,,10.0,1.0,,,,,,,,
1580,8.0,11.0,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,4.0,,,,,,,,,,,,,,,,,,,,,
1580,,,,,Billy Mitchell,Bougainville-SW Paci,Papua New Guinea,-6.0920000000000005,155.225,1544,Pyroclastic shield,Radiocarbon,D5,6.0,,,,,,,,,,,,,,,,,,,,,
1581,12.0,26.0,,,Fuego,Guatemala,Guatemala,14.472999999999999,-90.88,3763,Stratovolcano,Historical,D1,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1586,,,,,Kelut,Java,Indonesia,-7.93,112.30799999999999,1731,Stratovolcano,Historical,D1,5.0,,10000.0,4.0,,,,,,,,,10000.0,4.0,,,,,,,,
1587,,,,,Merapi,Java,Indonesia,-7.542000000000001,110.44200000000001,2947,Stratovolcano,Historical,D1,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1590,1.0,15.0,,,Colima,Mexico,Mexico,19.514,-103.62,3850,Stratovolcano,Historical,D1,3.0,I,,3.0,,,,,,,,,,3.0,,,,,,,,
1593,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,Historical,D1,5.0,,,3.0,,,,,,,,,,3.0,,,,,,,,
1595,3.0,12.0,,,Ruiz,Colombia,Colombia,4.895,-75.322,5321,Stratovolcano,Historical,D1,4.0,M,636.0,3.0,,,,,,,,,636.0,3.0,,,,,,,,
1596,5.0,1.0,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,D1,2.0,T,,3.0,,,,,,,,,,3.0,,,,,,,,
1597,1.0,3.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1597,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,Historical,D1,3.0,T,,1.0,,,,,,,,,,1.0,,,,,,,,
1598,5.0,13.0,,,Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,Historical,D1,2.0,T,800.0,3.0,,,,,,,,,800.0,3.0,,,,,,,,
1598,,,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,Historical,D1,3.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
1600,2.0,19.0,,EQ,Huaynaputina,Peru,Peru,-16.608,-70.85,4850,Stratovolcano,Historical,D5,6.0,,1500.0,4.0,,,,,,,,,1500.0,4.0,,,,,,,,
1606,1.0,23.0,TSU,,Hachijo-jima,Izu Is-Japan,Japan,33.13,139.77,854,Stratovolcano,Historical,D5,2.0,,,,,,,,,,,,,,,,,,,,,
1608,7.0,18.0,TSU,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,,,
1609,,,,,Tengchong,China-S,China,25.32,98.47,2865,Pyroclastic cone,Historical,D5,,E,,1.0,,,,,,,,,,1.0,,,,,,,,
1615,3.0,,,,Banda Api,Banda Sea,Pacific Ocean,-4.525,129.871,640,Caldera,Historical,D1,3.0,,,,,,,,,2.0,,2.0,,,,,,,,2.0,,2.0
1617,,,,,Fuego,Guatemala,Guatemala,14.472999999999999,-90.88,3763,Stratovolcano,Historical,D1,3.0,,,,,,,,,,,,,,,,,,,,,
1625,9.0,2.0,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,5.0,,,,,,,,,,,,,,,,,,,,,
1629,,,,,Grimsvotn,Iceland-NE,Iceland,64.42,-17.33,1725,Caldera,Historical,D1,2.0,F,4.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,
1630,9.0,3.0,,,Furnas,Azores,Portugal,37.77,-25.32,805,Stratovolcano,Historical,D5,4.0,"M,T",200.0,3.0,,,,,,,,,200.0,3.0,,,,,,,,
1631,2.0,14.0,,EQ,Dama Ali,Africa-NE,Ethiopia,11.28,41.63,1068,Shield volcano,Historical,D5,,S,50.0,1.0,,,,,,2.0,,,50.0,1.0,,,,,,2.0,,
1631,12.0,16.0,TSU,EQ,Vesuvius,Italy,Italy,40.821,14.425999999999998,1281,Complex volcano,Historical,D2,5.0,"P,E,M",4000.0,4.0,,,,,,4.0,,4.0,4000.0,4.0,,,,,,4.0,,4.0
1636,5.0,15.0,,,Hekla,Iceland-S,Iceland,63.98,-19.7,1491,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1638,,,,,Raung,Java,Indonesia,-8.125,114.042,3332,Stratovolcano,Historical,D1,4.0,M,1001.0,4.0,,,,,,,,,1001.0,4.0,,,,,,,,
1640,7.0,31.0,TSU,EQ,Komaga-take,Hokkaido-Japan,Japan,42.07,140.68,1140,Stratovolcano,Historical,D1,5.0,W,,,,,,,,,,,700.0,3.0,,,,,,1.0,20.0,1.0
1640,,,,,Tungurahua,Ecuador,Ecuador,-1.4669999999999999,-78.442,5023,Stratovolcano,Historical,D1,3.0,P,5000.0,4.0,,,,,,,,4.0,5000.0,4.0,,,,,,,,4.0
1646,7.0,19.0,,,Makian,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,Historical,D1,4.0,,,3.0,,,,,,,,,,3.0,,,,,,,,
1650,9.0,26.0,TSU,,Santorini,Greece,Greece,36.404,25.396,329,Shield volcano,Historical,D2,4.0,"G,W,T",120.0,3.0,,,,,,,,,120.0,3.0,,,,,,,,
1659,9.0,30.0,,EQ,San Salvador,El Salvador,El Salvador,13.735999999999999,-89.286,1893,Stratovolcano,Historical,D2,3.0,S,,,,,,,,,,,,,,,,,,,,
1659,11.0,11.0,TSU,,Teon,Banda Sea,Pacific Ocean,-6.92,129.125,655,Stratovolcano,Historical,D2,4.0,,,,,,,,,,,,,,,,,,,,,
1660,2.0,,,,Teon,Banda Sea,Pacific Ocean,-6.92,129.125,655,Stratovolcano,Historical,D2,4.0,"G,T",3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
1660,11.0,3.0,,,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
1660,,,TSU,,Long Island,New Guinea-NE of,Papua New Guinea,-5.358,147.12,1280,Complex volcano,Historical,D1,6.0,"T,P,W,I",2000.0,4.0,,,,,,3.0,,3.0,2000.0,4.0,,,,,,3.0,,3.0
1663,8.0,16.0,,,Usu,Hokkaido-Japan,Japan,42.53,140.83,731,Stratovolcano,Historical,D1,5.0,"T,P",5.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,
1664,4.0,15.0,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,Historical,D1,2.0,m,30.0,1.0,,,,,,,,,30.0,1.0,,,,,,,,
1664,,,TSU,,Iwo-Tori-shima,Ryukyu Is,Japan,27.85,128.25,217,Complex volcano,Historical,D1,,A,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0
